yyyy/mm/dd, hh:mm:ss, timeElapsed, TPM1, TPM2.5, TPM10, PM1, PM2.5, PM10, CO2, TempC, Humidity, NO, NO2, O3, CO2raw, workNO2, auxNO2, workO3, auxO3, labNO, labNO2, labO3, labCO2, labTPM25, labPM25
2016/7/5, 19:10:30, 11581, 0, 1, 1, 0, 1, 1, 479.24, 25.72, 60.47, -6.90, -1308.89, 307.74, 245.13, 173.19, 199.47, 237.04, 214.42, -6.90, -1308.89, 307.74, 479.24, 1.00, 1.00
2016/7/5, 19:11:30, 11642, 0, 0, 0, 0, 0, 0, 464.45, 25.72, 60.48, 11.70, -1448.23, 757.30, 237.57, 170.06, 204.68, 227.17, 191.02, 11.70, -1448.23, 757.30, 464.45, 0.00, 0.00
2016/7/5, 19:12:31, 11702, 0, 0, 0, 0, 0, 0, 476.03, 25.72, 60.49, -85.63, -1221.27, 583.13, 243.49, 165.74, 190.96, 231.85, 194.23, -85.63, -1221.27, 583.13, 476.03, 0.00, 0.00
2016/7/5, 19:13:31, 11763, 0, 0, 0, 0, 0, 0, 461.54, 25.71, 60.49, 12.12, -1417.75, 654.11, 236.08, 160.23, 197.70, 232.62, 198.04, 12.12, -1417.75, 654.11, 461.54, 0.00, 0.00
2016/7/5, 19:14:32, 11823, 0, 0, 0, 0, 0, 0, 461.79, 25.70, 60.49, 17.47, -1154.21, 352.13, 236.21, 175.15, 192.85, 227.94, 201.92, 17.47, -1154.21, 352.13, 461.79, 0.00, 0.00
2016/7/5, 19:15:32, 11884, 0, 0, 0, 0, 0, 0, 482.52, 25.70, 60.50, -26.37, -1291.99, 647.74, 246.81, 182.58, 203.85, 227.17, 191.08, -26.37, -1291.99, 647.74, 482.52, 0.00, 0.00
2016/7/5, 19:16:33, 11945, 0, 0, 0, 0, 0, 0, 467.14, 25.69, 60.51, 8.66, -1281.90, 634.42, 238.94, 174.83, 199.04, 228.21, 191.92, 8.66, -1281.90, 634.42, 467.14, 0.00, 0.00
2016/7/5, 19:17:33, 12005, 0, 0, 0, 0, 0, 0, 467.64, 25.68, 60.54, -8.47, -1324.30, 542.78, 239.20, 164.04, 195.16, 227.06, 197.69, -8.47, -1324.30, 542.78, 467.64, 0.00, 0.00
2016/7/5, 19:18:34, 12066, 0, 0, 0, 0, 0, 0, 465.56, 25.67, 60.55, -1.71, -1396.76, 528.10, 238.13, 171.13, 202.71, 231.08, 203.10, -1.71, -1396.76, 528.10, 465.56, 0.00, 0.00
2016/7/5, 19:19:35, 12127, 0, 0, 1, 0, 0, 1, 460.69, 25.66, 60.55, 9.93, -1187.38, 447.28, 235.64, 181.04, 197.77, 242.21, 205.28, 9.93, -1187.38, 447.28, 460.69, 0.00, 0.00
2016/7/5, 19:20:36, 12187, 0, 0, 0, 0, 0, 0, 460.36, 25.66, 60.54, -94.26, -1043.00, 270.05, 235.47, 184.11, 192.28, 228.00, 202.21, -94.26, -1043.00, 270.05, 460.36, 0.00, 0.00
2016/7/5, 19:21:36, 12248, 0, 0, 0, 0, 0, 0, 473.45, 25.66, 60.55, -54.73, -1280.81, 534.14, 242.17, 180.23, 201.98, 232.02, 199.04, -54.73, -1280.81, 534.14, 473.45, 0.00, 0.00
2016/7/5, 19:22:37, 12308, 0, 0, 0, 0, 0, 0, 476.70, 25.65, 60.56, -32.24, -1384.15, 541.36, 243.83, 170.51, 201.74, 230.70, 201.75, -32.24, -1384.15, 541.36, 476.70, 0.00, 0.00
